TraesCS1A02G074800
TraesCS1A02G125500
TraesCS1A02G144700
TraesCS1A02G146600
TraesCS1A02G160900
TraesCS1A02G186000
TraesCS1A02G211600
TraesCS1A02G222700
TraesCS1A02G231100
TraesCS1A02G236500
TraesCS1A02G247700
TraesCS1A02G249600
TraesCS1A02G283600
TraesCS1A02G290500
TraesCS1A02G302500
TraesCS1A02G311300
TraesCS1A02G384200
TraesCS1B02G062600
TraesCS1B02G124100
TraesCS1B02G128800
TraesCS1B02G144500
TraesCS1B02G144600
TraesCS1B02G149500
TraesCS1B02G152300
TraesCS1B02G165700
TraesCS1B02G171300
TraesCS1B02G195500
TraesCS1B02G200200
TraesCS1B02G201000
TraesCS1B02G204300
TraesCS1B02G219800
TraesCS1B02G236000
TraesCS1B02G236100
TraesCS1B02G257100
TraesCS1B02G258300
TraesCS1B02G260400
TraesCS1B02G295000
TraesCS1B02G302600
TraesCS1B02G316500
TraesCS1B02G340600
TraesCS1B02G345200
TraesCS1B02G349200
TraesCS1B02G363100
TraesCS1B02G377600
TraesCS1B02G431800
TraesCS1B02G464000
TraesCS1D02G007626
TraesCS1D02G039600
TraesCS1D02G077400
TraesCS1D02G083700
TraesCS1D02G101300
TraesCS1D02G116400
TraesCS1D02G124500
TraesCS1D02G125100
TraesCS1D02G145600
TraesCS1D02G178500
TraesCS1D02G191000
TraesCS1D02G195200
TraesCS1D02G224400
TraesCS1D02G241200
TraesCS1D02G247300
TraesCS1D02G258900
TraesCS1D02G282700
TraesCS1D02G314400
TraesCS1D02G336300
TraesCS1D02G350100
TraesCS1D02G380300
TraesCS1D02G393500
TraesCS2A02G030900
TraesCS2A02G033000
TraesCS2A02G064800
TraesCS2A02G102200
TraesCS2A02G123800
TraesCS2A02G150400
TraesCS2A02G226800
TraesCS2A02G227000
TraesCS2A02G249400
TraesCS2A02G251600
TraesCS2A02G261000
TraesCS2A02G272600
TraesCS2A02G275300
TraesCS2A02G278000
TraesCS2A02G290500
TraesCS2A02G293600
TraesCS2A02G313300
TraesCS2A02G313500
TraesCS2A02G317200
TraesCS2A02G323500
TraesCS2A02G330000
TraesCS2A02G331100
TraesCS2A02G331700
TraesCS2A02G334200
TraesCS2A02G335300
TraesCS2A02G335600
TraesCS2A02G354900
TraesCS2A02G401000
TraesCS2A02G458800
TraesCS2A02G462700
TraesCS2A02G473000
TraesCS2A02G489700
TraesCS2A02G550900
TraesCS2B02G012000
TraesCS2B02G119300
TraesCS2B02G145700
TraesCS2B02G154200
TraesCS2B02G209800
TraesCS2B02G214100
TraesCS2B02G253500
TraesCS2B02G273200
TraesCS2B02G290800
TraesCS2B02G309600
TraesCS2B02G325100
TraesCS2B02G333800
TraesCS2B02G335200
TraesCS2B02G356600
TraesCS2B02G416000
TraesCS2B02G506400
TraesCS2B02G550700
TraesCS2B02G588400
TraesCS2D02G101700
TraesCS2D02G126600
TraesCS2D02G170200
TraesCS2D02G172100
TraesCS2D02G182000
TraesCS2D02G191000
TraesCS2D02G234900
TraesCS2D02G242400
TraesCS2D02G280600
TraesCS2D02G285400
TraesCS2D02G300900
TraesCS2D02G315000
TraesCS2D02G346400
TraesCS2D02G354300
TraesCS2D02G373600
TraesCS2D02G375800
TraesCS2D02G401100
TraesCS2D02G409400
TraesCS2D02G410000
TraesCS2D02G429400
TraesCS2D02G433900
TraesCS2D02G515900
TraesCS2D02G517200
TraesCS3A02G053300
TraesCS3A02G086700
TraesCS3A02G100300
TraesCS3A02G130200
TraesCS3A02G185800
TraesCS3A02G237800
TraesCS3A02G240500
TraesCS3A02G245809
TraesCS3A02G285700
TraesCS3A02G302100
TraesCS3A02G305600
TraesCS3A02G313600
TraesCS3A02G350900
TraesCS3A02G364200
TraesCS3A02G408800
TraesCS3A02G410000
TraesCS3A02G413600
TraesCS3A02G422700
TraesCS3A02G448800
TraesCS3B02G012500
TraesCS3B02G093100
TraesCS3B02G149100
TraesCS3B02G177800
TraesCS3B02G198700
TraesCS3B02G211200
TraesCS3B02G259500
TraesCS3B02G273000
TraesCS3B02G290400
TraesCS3B02G292800
TraesCS3B02G315500
TraesCS3B02G330900
TraesCS3B02G334500
TraesCS3B02G363500
TraesCS3B02G392600
TraesCS3B02G396300
TraesCS3B02G404900
TraesCS3B02G414900
TraesCS3B02G437300
TraesCS3B02G438000
TraesCS3B02G474800
TraesCS3D02G001400
TraesCS3D02G020000
TraesCS3D02G086900
TraesCS3D02G096800
TraesCS3D02G104000
TraesCS3D02G124700
TraesCS3D02G130900
TraesCS3D02G131100
TraesCS3D02G142300
TraesCS3D02G167100
TraesCS3D02G184000
TraesCS3D02G189800
TraesCS3D02G198500
TraesCS3D02G202800
TraesCS3D02G210800
TraesCS3D02G213600
TraesCS3D02G261800
TraesCS3D02G302900
TraesCS3D02G320500
TraesCS3D02G325100
TraesCS3D02G335500
TraesCS3D02G357600
TraesCS3D02G365100
TraesCS3D02G365400
TraesCS3D02G373600
TraesCS3D02G374100
TraesCS3D02G397600
