Gene	SRR8667880
ENSRNA049445071	0
ENSRNA049445084	0
ENSRNA049445101	0
ENSRNA049445116	0
ENSRNA049445133	0
ENSRNA049445147	0
ENSRNA049445158	0
ENSRNA049445168	0
ENSRNA049445185	0
ENSRNA049445195	0
ENSRNA049445201	0
ENSRNA049445211	0
ENSRNA049445222	0
ENSRNA049445250	0
ENSRNA049445318	0
ENSRNA049445322	0
ENSRNA049445365	0
ENSRNA049445379	0
ENSRNA049445397	0
ENSRNA049445413	0
ENSRNA049445423	0
ENSRNA049445458	0
ENSRNA049445483	0
ENSRNA049445531	0
ENSRNA049445545	0
ENSRNA049445553	0
ENSRNA049445555	0
ENSRNA049445567	0
ENSRNA049445575	0
ENSRNA049445582	0
ENSRNA049445597	0
ENSRNA049445621	0
ENSRNA049445628	0
ENSRNA049445643	0
ENSRNA049445659	0
ENSRNA049445666	0
ENSRNA049445675	0
ENSRNA049445707	0
ENSRNA049445711	0
ENSRNA049445717	0
ENSRNA049445726	0
ENSRNA049445739	0
ENSRNA049445747	0
ENSRNA049445760	0
ENSRNA049445782	0
ENSRNA049445789	0
ENSRNA049445792	0
ENSRNA049445806	0
ENSRNA049445817	0
ENSRNA049445828	0
ENSRNA049445837	0
ENSRNA049445841	0
ENSRNA049445848	0
ENSRNA049445862	0
ENSRNA049445944	0
ENSRNA049445954	0
ENSRNA049445974	0
ENSRNA049445990	0
ENSRNA049446004	0
ENSRNA049463750	2
ENSRNA049463764	0
ENSRNA049463778	0
ENSRNA049465492	0
ENSRNA049465688	0
ENSRNA049465890	0
ENSRNA049468565	0
ENSRNA049468575	2
ENSRNA049468584	2
ENSRNA049468628	0
ENSRNA049468671	1
ENSRNA049468679	0
ENSRNA049468691	0
ENSRNA049468729	0
ENSRNA049468737	0
ENSRNA049468746	0
ENSRNA049468784	0
ENSRNA049468822	0
ENSRNA049468921	0
ENSRNA049468928	0
ENSRNA049468934	0
ENSRNA049468937	0
ENSRNA049468953	0
ENSRNA049468963	0
ENSRNA049468970	34
ENSRNA049469007	13
ENSRNA049469020	0
ENSRNA049469036	25
ENSRNA049469047	1
ENSRNA049469069	0
ENSRNA049469080	0
ENSRNA049469087	7
ENSRNA049469191	0
ENSRNA049469198	0
ENSRNA049469210	1
ENSRNA049469435	0
ENSRNA049469461	0
ENSRNA049470424	0
ENSRNA049470435	0
ENSRNA049470481	0
ENSRNA049470492	0
ENSRNA049470939	226
ENSRNA049471137	28
ENSRNA049471256	0
ENSRNA049471265	0
ENSRNA049471439	0
ENSRNA049471443	1
ENSRNA049471447	0
ENSRNA049471449	0
ENSRNA049471462	0
ENSRNA049471473	0
ENSRNA049471490	2
ENSRNA049471493	0
ENSRNA049471516	4
ENSRNA049471531	3
ENSRNA049471537	1
ENSRNA049471543	0
ENSRNA049471549	0
ENSRNA049471574	0
ENSRNA049471594	0
ENSRNA049471601	2
ENSRNA049471625	7
ENSRNA049471702	10
ENSRNA049471705	17
ENSRNA049471714	9
ENSRNA049472582	0
ENSRNA049474108	3
ENSRNA049474184	3
ENSRNA049474930	0
ENSRNA049475008	0
ENSRNA049475647	0
ENSRNA049475729	0
ENSRNA049476474	14
ENSRNA049476476	11
ENSRNA049476483	6
ENSRNA049476932	0
ENSRNA049476934	2
ENSRNA049476938	0
ENSRNA049476949	0
ENSRNA049476953	0
ENSRNA049476979	0
ENSRNA049476982	0
ENSRNA049476990	0
ENSRNA049476998	0
ENSRNA049477009	0
ENSRNA049478533	0
ENSRNA049478834	0
ENSRNA049478842	0
ENSRNA049478845	0
ENSRNA049478851	0
ENSRNA049478859	0
ENSRNA049478863	0
ENSRNA049478870	0
ENSRNA049478879	0
ENSRNA049478883	9
ENSRNA049478892	53
ENSRNA049478902	0
ENSRNA049478906	0
ENSRNA049478914	1
ENSRNA049478920	2
ENSRNA049478922	0
ENSRNA049478932	0
ENSRNA049478934	2
ENSRNA049478940	0
ENSRNA049478943	0
ENSRNA049478964	0
ENSRNA049478967	0
ENSRNA049478972	0
ENSRNA049478976	0
ENSRNA049478978	0
ENSRNA049478980	0
ENSRNA049478984	0
ENSRNA049478988	0
ENSRNA049478990	0
ENSRNA049478991	0
ENSRNA049478998	0
ENSRNA049479001	0
ENSRNA049479005	0
ENSRNA049479008	0
ENSRNA049479010	0
ENSRNA049479015	0
ENSRNA049479017	0
ENSRNA049479019	0
ENSRNA049479023	0
ENSRNA049479026	0
ENSRNA049479030	0
ENSRNA049479032	0
ENSRNA049479034	0
ENSRNA049479038	0
ENSRNA049479042	0
ENSRNA049479046	0
ENSRNA049479049	0
ENSRNA049479056	0
ENSRNA049479058	0
ENSRNA049479062	0
ENSRNA049479064	0
ENSRNA049479070	0
ENSRNA049479073	0
ENSRNA049479076	0
ENSRNA049479080	0
ENSRNA049479083	0
ENSRNA049479086	0
ENSRNA049479095	0
ENSRNA049479100	0
ENSRNA049479103	0
ENSRNA049479108	0
ENSRNA049479111	0
ENSRNA049479117	0
ENSRNA049479121	0
ENSRNA049479124	0
ENSRNA049479128	0
ENSRNA049479133	0
ENSRNA049479138	0
ENSRNA049479142	0
ENSRNA049479146	0
ENSRNA049479149	0
ENSRNA049479154	0
ENSRNA049479161	0
ENSRNA049479165	0
ENSRNA049479171	0
ENSRNA049479172	0
ENSRNA049479180	0
ENSRNA049479182	0
ENSRNA049479189	0
ENSRNA049479193	0
ENSRNA049479195	0
ENSRNA049479198	0
ENSRNA049479200	0
ENSRNA049479206	0
ENSRNA049479208	0
ENSRNA049479212	0
ENSRNA049479215	0
ENSRNA049479216	0
ENSRNA049479220	0
ENSRNA049479224	0
ENSRNA049479227	0
ENSRNA049479229	0
ENSRNA049479232	0
ENSRNA049479236	0
ENSRNA049479240	0
ENSRNA049479241	0
ENSRNA049479245	0
ENSRNA049479249	0
ENSRNA049479252	0
ENSRNA049479256	0
ENSRNA049479260	0
ENSRNA049479263	0
ENSRNA049479265	0
ENSRNA049479267	0
ENSRNA049479268	0
ENSRNA049479272	0
ENSRNA049479274	0
ENSRNA049479277	0
ENSRNA049479281	0
ENSRNA049479285	0
ENSRNA049479291	0
ENSRNA049479295	0
ENSRNA049479300	0
ENSRNA049479304	0
ENSRNA049479306	0
ENSRNA049479308	0
ENSRNA049479314	0
ENSRNA049479319	0
ENSRNA049479320	0
ENSRNA049479323	0
ENSRNA049479326	0
ENSRNA049479329	0
ENSRNA049479332	0
ENSRNA049479335	0
ENSRNA049479337	0
ENSRNA049479340	0
ENSRNA049479342	0
ENSRNA049479346	0
ENSRNA049479349	0
ENSRNA049479355	0
ENSRNA049479360	0
ENSRNA049479364	0
ENSRNA049479371	0
ENSRNA049479376	0
ENSRNA049479378	0
ENSRNA049479382	0
ENSRNA049479386	0
ENSRNA049479388	0
ENSRNA049479393	0
ENSRNA049479397	0
ENSRNA049479399	0
ENSRNA049479405	0
ENSRNA049479407	0
ENSRNA049479412	0
ENSRNA049479418	0
ENSRNA049479420	0
ENSRNA049479425	0
ENSRNA049479427	0
ENSRNA049479431	0
ENSRNA049479433	0
ENSRNA049479438	0
ENSRNA049479441	0
ENSRNA049479444	0
ENSRNA049479446	0
ENSRNA049479450	0
ENSRNA049479454	0
ENSRNA049479458	0
