TraesCS3B02G158800,TraesCS5A02G387400
TraesCS3B02G158800,TraesCS1A02G244800
TraesCS3B02G158800,TraesCS2A02G505600
TraesCS3B02G158800,TraesCS4A02G011600
TraesCS3B02G158800,TraesCS6D02G084900
TraesCS3B02G158800,TraesCS7A02G377400
TraesCS3B02G158800,TraesCS7D02G483200
TraesCS3B02G158800,TraesCS4A02G263300
TraesCS3B02G158800,TraesCS2D02G461700
TraesCS3B02G158800,TraesCS4B02G051500
TraesCS3B02G158800,TraesCS4B02G347100
TraesCS3B02G158800,TraesCS6B02G316600
TraesCS3B02G158800,TraesCS5A02G373500
TraesCS3B02G158800,TraesCS5D02G383000
TraesCS3B02G158800,TraesCS6B02G096600
TraesCS3B02G158800,TraesCS5A02G330200
TraesCS3B02G158800,TraesCS1B02G100600
TraesCS3B02G158800,TraesCS1D02G084400
TraesCS3B02G158800,TraesCS2D02G444300
TraesCS3B02G158800,TraesCS3B02G125500
TraesCS3B02G158800,TraesCS7B02G204800
TraesCS3B02G158800,TraesCS2B02G119000
TraesCS3B02G158800,TraesCS2B02G228900
TraesCS3B02G158800,TraesCS2D02G214100
TraesCS3B02G158800,TraesCS4B02G173600
TraesCS3B02G158800,TraesCS5A02G143200
TraesCS3B02G158800,TraesCS5A02G275900
TraesCS3B02G158800,TraesCS5B02G142100
TraesCS3B02G158800,TraesCS5B02G275200
TraesCS3B02G158800,TraesCS5D02G283200
TraesCS3B02G158800,TraesCS2A02G448300
TraesCS3B02G158800,TraesCS4A02G007900
TraesCS3B02G158800,TraesCS4D02G295900
TraesCS3B02G158800,TraesCS4D02G296000
TraesCS3B02G158800,TraesCS3D02G281900
TraesCS3B02G158800,TraesCS2D02G453400
TraesCS3B02G158800,TraesCS2A02G559200
TraesCS3B02G158800,TraesCS5D02G452500
TraesCS3B02G158800,TraesCS6A02G351300
TraesCS3B02G158800,TraesCS6D02G334000
TraesCS3B02G158800,TraesCS3D02G411900
TraesCS3B02G158800,TraesCS5D02G037500
TraesCS3B02G158800,TraesCS5D02G059300
TraesCS3B02G158800,TraesCS5D02G494800
TraesCS3B02G158800,TraesCS6D02G098600
TraesCS2D02G286300,TraesCS4A02G263300
TraesCS2D02G286300,TraesCS4B02G051500
TraesCS2D02G286300,TraesCS4D02G051600
TraesCS2D02G286300,TraesCS6B02G316700
TraesCS2D02G286300,TraesCS4A02G231300
TraesCS2D02G286300,TraesCS4D02G082600
TraesCS2D02G286300,TraesCS2B02G119100
TraesCS2D02G286300,TraesCS4D02G011500
TraesCS4B02G245800,TraesCS2A02G389400
TraesCS4B02G245800,TraesCS3A02G325800
TraesCS4B02G245800,TraesCS3B02G354900
TraesCS4B02G245800,TraesCS4A02G231300
