TAM111,TAM112
TraesCS5D02G056100,0,25
TraesCS5D02G171000,0,70
TraesCS5D02G289800,0,44
TraesCS5D02G290600,0,43
TraesCS5D02G390900,1,12
TraesCS5D02G405100,0,29
TraesCS5D02G431100,0,46
TraesCS5D02G453400,0,41
TraesCS5D02G475000,1,16
TraesCS5D02G553000,0,46
TraesCS5D02G556600,0,10
TraesCS5D02G561900,0,528
TraesCS6A02G007800,0,38
TraesCS6A02G016300,0,11
TraesCS6A02G017900,0,44
TraesCS6A02G050600,4,23
TraesCS6A02G093200,0,25
TraesCS6A02G148800,0,11
TraesCS6A02G157100,0,18
TraesCS6A02G175100,0,22
TraesCS6A02G179900,0,18
TraesCS6A02G184200,0,138
TraesCS6A02G233200,0,30
TraesCS6A02G295900,0,14
TraesCS6A02G357700,0,107
TraesCS6A02G362100,0,15
TraesCS6A02G415300,0,10
TraesCS6B02G054200,0,40
TraesCS6B02G064100,0,47
TraesCS6B02G122000,0,41
TraesCS6B02G184900,0,41
TraesCS6B02G205100,0,16
TraesCS6B02G205400,0,16
TraesCS6B02G210000,0,17
TraesCS6B02G375900,0,77
TraesCS6B02G390000,0,71
TraesCS6B02G390300,1,111
TraesCS6B02G407700,0,111
TraesCS6B02G417800,0,27
TraesCS6B02G418900,1,28
TraesCS6D02G010900,0,19
TraesCS6D02G019300,0,16
TraesCS6D02G039600,0,44
TraesCS6D02G089200,0,31
TraesCS6D02G106600,0,125
TraesCS6D02G138200,0,81
TraesCS6D02G159200,0,29
TraesCS6D02G165100,0,25
TraesCS6D02G168200,0,24
TraesCS6D02G276200,0,19
TraesCS6D02G276300,0,22
TraesCS6D02G324600,0,84
TraesCS6D02G340200,0,93
TraesCS6D02G340500,0,91
TraesCS6D02G373700,1,81
TraesCS7A02G028500,0,476
TraesCS7A02G028600,1,132
TraesCS7A02G029400,0,39
TraesCS7A02G029600,0,10
TraesCS7A02G030000,0,154
TraesCS7A02G036800,0,13
TraesCS7A02G043400,1,13
TraesCS7A02G086700,0,79
TraesCS7A02G135100,0,41
TraesCS7A02G135200,0,15
TraesCS7A02G361100,0,24
TraesCS7A02G361200,0,25
TraesCS7A02G361800,0,13
TraesCS7A02G428100,0,84
TraesCS7A02G459900,0,22
TraesCS7A02G549200,0,11
TraesCS7B02G067000,0,21
TraesCS7B02G083100,0,16
TraesCS7B02G089600,0,52
TraesCS7B02G090000,0,13
TraesCS7B02G100100,0,40
TraesCS7B02G265300,0,16
TraesCS7B02G266700,0,10
TraesCS7B02G353600,0,24
TraesCS7B02G361100,0,56
TraesCS7B02G361200,0,35
TraesCS7B02G361300,0,20
TraesCS7B02G361400,0,30
TraesCS7B02G361700,0,26
TraesCS7B02G389100,0,21
TraesCS7B02G397100,0,53
TraesCS7B02G409400,0,109
TraesCS7B02G409500,0,26
TraesCS7B02G409800,0,36
TraesCS7B02G466100,0,79
TraesCS7D02G016300,0,19
TraesCS7D02G025500,0,53
TraesCS7D02G025600,1,102
TraesCS7D02G025700,0,124
TraesCS7D02G025800,0,27
TraesCS7D02G034200,0,40
TraesCS7D02G036600,0,28
TraesCS7D02G053700,0,18
TraesCS7D02G060100,0,19
TraesCS7D02G081200,0,89
TraesCS7D02G081300,0,31
TraesCS7D02G081400,0,44
TraesCS7D02G123600,0,20
TraesCS7D02G177300,0,10
TraesCS7D02G186400,0,53
TraesCS7D02G196100,0,13
TraesCS7D02G215400,0,43
TraesCS7D02G361200,1,12
TraesCS7D02G361900,0,16
TraesCS7D02G362000,0,16
TraesCS7D02G420300,0,89
TraesCS7D02G447800,0,19
TraesCS7D02G448200,0,56
TraesCS7D02G473100,0,18
TraesCS7D02G489900,0,49
TraesCSU02G026800,0,10
TraesCSU02G048700,0,57
TraesCSU02G101900,0,40
TraesCSU02G132500,1,36
TraesCSU02G182400,0,45
TraesCSU02G267500,0,18
