TAM111,TAM112
TraesCS6D02G400900,0,11
TraesCS7A02G028500,0,194
TraesCS7A02G028600,1,196
TraesCS7A02G029400,0,54
TraesCS7A02G030000,0,201
TraesCS7A02G035300,1,38
TraesCS7A02G036800,0,37
TraesCS7A02G043400,1,14
TraesCS7A02G086700,0,136
TraesCS7A02G135100,0,41
TraesCS7A02G361800,0,15
TraesCS7A02G428100,0,115
TraesCS7B02G067000,0,40
TraesCS7B02G089600,0,26
TraesCS7B02G100100,0,14
TraesCS7B02G353600,0,18
TraesCS7B02G361100,0,40
TraesCS7B02G389100,0,38
TraesCS7B02G397100,0,57
TraesCS7B02G409400,0,132
TraesCS7B02G466100,0,104
TraesCS7D02G025500,0,39
TraesCS7D02G025600,1,174
TraesCS7D02G025700,0,158
TraesCS7D02G025800,0,37
TraesCS7D02G034200,0,55
TraesCS7D02G036600,0,19
TraesCS7D02G053700,0,39
TraesCS7D02G081200,0,78
TraesCS7D02G081300,0,52
TraesCS7D02G081400,0,37
TraesCS7D02G083700,0,35
TraesCS7D02G186400,0,25
TraesCS7D02G215400,0,18
TraesCS7D02G420300,0,110
TraesCS7D02G448200,0,41
TraesCS7D02G489900,0,58
TraesCS7D02G507800,0,19
TraesCSU02G048700,0,102
TraesCSU02G101900,0,48
TraesCSU02G132500,1,51
TraesCSU02G182400,0,38
